entity:sample_id	left_fq	right_fq
rep2.HPV33	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep2.HPV33.insertion_seqs_1.fq.gz	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep2.HPV33.insertion_seqs_2.fq.gz
rep2.HPV35	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep2.HPV35.insertion_seqs_1.fq.gz	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep2.HPV35.insertion_seqs_2.fq.gz
rep2.HPV39	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep2.HPV39.insertion_seqs_1.fq.gz	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep2.HPV39.insertion_seqs_2.fq.gz
rep2.HPV45	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep2.HPV45.insertion_seqs_1.fq.gz	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep2.HPV45.insertion_seqs_2.fq.gz
rep3.HPV16	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV16.insertion_seqs_1.fq.gz	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV16.insertion_seqs_2.fq.gz
rep3.HPV18	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV18.insertion_seqs_1.fq.gz	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV18.insertion_seqs_2.fq.gz
rep3.HPV31	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV31.insertion_seqs_1.fq.gz	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV31.insertion_seqs_2.fq.gz
rep3.HPV33	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV33.insertion_seqs_1.fq.gz	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV33.insertion_seqs_2.fq.gz
rep3.HPV35	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV35.insertion_seqs_1.fq.gz	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV35.insertion_seqs_2.fq.gz
rep3.HPV39	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV39.insertion_seqs_1.fq.gz	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV39.insertion_seqs_2.fq.gz
rep3.HPV45	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV45.insertion_seqs_1.fq.gz	gs://fc-f5038732-f718-4441-8312-23d4e01e0882/DATA/hpvRepSimsDec272022/rep3.HPV45.insertion_seqs_2.fq.gz
